time,open,high,low,close,volume
2022-10-14 06:05:00,142.39,142.72,142.37,142.72,10447
2022-10-14 06:00:00,142.26,142.43,142.26,142.37,5072
2022-10-14 05:55:00,142.18,142.26,142.18,142.26,3288
2022-10-14 05:50:00,142.15,142.31,141.7,142.28,13467
2022-10-14 05:45:00,142.06,142.06,142.06,142.06,110
2022-10-14 05:40:00,141.96,142.01,141.96,142.01,3125
2022-10-14 05:35:00,141.9,141.95,141.86,141.95,2756
2022-10-14 05:30:00,142.13,142.13,141.91,141.91,2622
2022-10-14 05:25:00,142.25,142.25,142.19,142.25,993
2022-10-14 05:20:00,142.09,142.29,142.09,142.28,2205
2022-10-14 05:15:00,141.91,142.2,141.91,142.14,13129
2022-10-14 05:10:00,141.75,141.91,141.75,141.9,6143
2022-10-14 05:05:00,141.81,141.85,141.68,141.74,4550
2022-10-14 05:00:00,141.92,141.92,141.8,141.81,5989
2022-10-14 04:55:00,142.3,142.3,141.93,141.99,11861
2022-10-14 04:50:00,142.4,142.4,142.26,142.26,4852
2022-10-14 04:45:00,142.46,142.6,142.46,142.48,2492
2022-10-14 04:40:00,142.34,142.4,142.34,142.4,2786
2022-10-14 04:35:00,142.38,142.46,142.35,142.37,3399
2022-10-14 04:30:00,142.56,142.61,142.33,142.33,8917
2022-10-14 04:25:00,142.85,142.99,142.6,142.63,9613
2022-10-14 04:20:00,142.9,142.93,142.68,142.89,9932
2022-10-14 04:15:00,142.91,142.92,142.73,142.9,7987
2022-10-14 04:10:00,142.85,142.92,142.78,142.92,2346
2022-10-14 04:05:00,143.0,143.3,143.0,143.02,8514
2022-10-13 20:00:00,142.78,142.83,142.71,142.83,8063
2022-10-13 19:55:00,142.76,142.77,142.73,142.75,3991
2022-10-13 19:50:00,142.66,142.97,142.66,142.82,7573
2022-10-13 19:45:00,142.64,142.66,142.62,142.62,2833
2022-10-13 19:40:00,142.65,142.69,142.62,142.62,5495
2022-10-13 19:35:00,142.72,142.73,142.68,142.7,3342
2022-10-13 19:30:00,142.69,142.73,142.65,142.7,4544
2022-10-13 19:25:00,142.66,142.73,142.66,142.7,3538
2022-10-13 19:20:00,142.7,142.7,142.6,142.66,1963
2022-10-13 19:15:00,142.61,142.61,142.61,142.61,1078
2022-10-13 19:10:00,142.61,142.61,142.53,142.6,1895
2022-10-13 19:05:00,142.65,142.65,142.61,142.62,4083
2022-10-13 19:00:00,142.62,142.7,142.61,142.63,2391
2022-10-13 18:55:00,142.64,142.72,142.64,142.65,2952
2022-10-13 18:50:00,142.61,142.61,142.54,142.54,904
2022-10-13 18:45:00,142.59,142.61,142.53,142.61,3969
2022-10-13 18:40:00,142.58,142.58,142.58,142.58,174
2022-10-13 18:35:00,142.4201,142.5,142.4201,142.5,5323
2022-10-13 18:30:00,142.6,142.6,142.29,142.4,10065
2022-10-13 18:25:00,142.81,142.81,142.58,142.58,8775
2022-10-13 18:20:00,142.67,142.79,142.63,142.79,16322
2022-10-13 18:15:00,142.66,142.66,142.58,142.64,1696
2022-10-13 18:10:00,142.67,142.67,142.65,142.65,2305
2022-10-13 18:05:00,142.63,142.76,142.63,142.65,12002
2022-10-13 18:00:00,142.6235,142.7,142.6128,142.6764,3350
2022-10-13 17:55:00,142.65,142.65,142.6175,142.6175,603
2022-10-13 17:50:00,142.68,142.69,142.6,142.61,7597
2022-10-13 17:45:00,142.61,142.68,142.57,142.68,3887
2022-10-13 17:40:00,142.57,142.64,142.57,142.61,7050
2022-10-13 17:35:00,142.6,142.61,142.57,142.5701,6830
2022-10-13 17:30:00,142.7,142.72,142.6,142.61,8633
2022-10-13 17:25:00,142.6532,142.7497,142.6114,142.72,6203
2022-10-13 17:20:00,142.64,142.68,142.55,142.55,11258
2022-10-13 17:15:00,142.64,142.6498,142.63,142.64,7453
2022-10-13 17:10:00,142.69,142.69,142.64,142.64,3094
2022-10-13 17:05:00,142.68,142.68,142.6621,142.68,5182
2022-10-13 17:00:00,142.66,142.74,142.63,142.69,6805
2022-10-13 16:55:00,142.6644,142.71,142.6644,142.7,10097
2022-10-13 16:50:00,142.68,142.99,142.67,142.69,53632
2022-10-13 16:45:00,142.74,142.74,142.63,142.6519,7916
2022-10-13 16:40:00,142.8,142.99,142.67,142.72,69954
2022-10-13 16:35:00,142.8,142.81,142.76,142.81,7903
2022-10-13 16:30:00,142.7,142.99,142.67,142.81,111529
2022-10-13 16:25:00,142.77,142.8,142.68,142.69,8928
2022-10-13 16:20:00,142.72,142.99,142.7,142.79,17416
2022-10-13 16:15:00,142.85,142.99,142.66,142.71,234213
2022-10-13 16:10:00,142.94,142.99,142.84,142.85,60266
2022-10-13 16:05:00,142.99,143.3,142.89,142.94,880653
2022-10-13 16:00:00,143.23,143.35,142.86,142.93,3580652
2022-10-13 15:55:00,143.0,143.59,142.73,143.235,2543166
2022-10-13 15:50:00,142.795,143.18,142.72,143.0,1638069
2022-10-13 15:45:00,142.48,142.87,142.425,142.8,1531960
2022-10-13 15:40:00,142.415,142.56,142.071,142.49,1403297
2022-10-13 15:35:00,142.48,142.745,142.2031,142.42,1313802
2022-10-13 15:30:00,142.63,142.74,142.47,142.49,1108574
2022-10-13 15:25:00,142.865,142.895,142.545,142.63,1096353
2022-10-13 15:20:00,143.07,143.18,142.84,142.86,1015470
2022-10-13 15:15:00,143.374,143.4241,143.04,143.07,1127626
2022-10-13 15:10:00,142.7,143.38,142.6801,143.3789,1927158
2022-10-13 15:05:00,142.8199,142.8803,142.59,142.7,875010
2022-10-13 15:00:00,142.6001,142.99,142.49,142.81,1163835
2022-10-13 14:55:00,142.175,142.69,142.15,142.605,1161156
2022-10-13 14:50:00,142.025,142.3,141.9,142.185,843907
2022-10-13 14:45:00,141.77,142.035,141.65,142.0318,875425
2022-10-13 14:40:00,141.27,141.81,141.23,141.77,882818
2022-10-13 14:35:00,141.01,141.35,141.01,141.27,656833
2022-10-13 14:30:00,141.41,141.41,140.9,141.0,641789
2022-10-13 14:25:00,141.54,141.56,141.37,141.42,479980
2022-10-13 14:20:00,141.48,141.6699,141.44,141.53,646676
2022-10-13 14:15:00,141.52,141.62,141.21,141.48,571773
2022-10-13 14:10:00,141.65,141.74,141.44,141.5103,630194
2022-10-13 14:05:00,141.805,141.81,141.52,141.645,625749
2022-10-13 14:00:00,141.82,141.87,141.67,141.81,508802
2022-10-13 13:55:00,141.83,142.01,141.71,141.81,650361
2022-10-13 13:50:00,141.78,141.88,141.61,141.82,701901
2022-10-13 13:45:00,141.93,142.01,141.6604,141.77,702100
2022-10-13 13:40:00,142.31,142.34,141.83,141.92,801103
2022-10-13 13:35:00,141.72,142.37,141.71,142.3,1195282
2022-10-13 13:30:00,141.57,141.935,141.38,141.7,922337
2022-10-13 13:25:00,141.07,141.62,141.0538,141.57,890432
2022-10-13 13:20:00,140.89,141.15,140.839,141.05,694721
2022-10-13 13:15:00,140.79,141.01,140.7296,140.9,1019310
2022-10-13 13:10:00,140.965,141.03,140.76,140.7928,538773
2022-10-13 13:05:00,140.57,141.02,140.57,140.97,919581
2022-10-13 13:00:00,140.415,140.64,140.3,140.565,632329
2022-10-13 12:55:00,140.6633,140.89,140.38,140.415,869003
2022-10-13 12:50:00,140.71,140.75,140.3985,140.67,593303
2022-10-13 12:45:00,140.222,140.81,140.18,140.7135,870875
2022-10-13 12:40:00,140.45,140.47,140.07,140.235,908099
2022-10-13 12:35:00,140.3,140.5553,140.21,140.4308,695592
2022-10-13 12:30:00,140.45,140.48,140.18,140.3,613576
2022-10-13 12:25:00,140.45,140.67,140.2,140.46,899891
2022-10-13 12:20:00,140.37,140.64,140.17,140.45,859646
2022-10-13 12:15:00,140.7265,140.855,140.17,140.35,1014949
2022-10-13 12:10:00,141.26,141.3405,140.57,140.72,971952
2022-10-13 12:05:00,140.94,141.37,140.8257,141.27,1375097
2022-10-13 12:00:00,141.19,141.3693,136.38,140.94,1364101
2022-10-13 11:55:00,140.95,141.41,140.67,141.19,1514849
2022-10-13 11:50:00,141.25,141.36,140.88,140.95,1765673
2022-10-13 11:45:00,141.62,142.61,141.17,141.25,2579198
2022-10-13 11:40:00,139.81,142.13,139.79,141.6,2896425
2022-10-13 11:35:00,139.75,140.18,139.56,139.8,1382803
2022-10-13 11:30:00,139.385,139.81,139.09,139.75,1571293
2022-10-13 11:25:00,138.68,140.69,138.68,139.38,3024341
2022-10-13 11:20:00,137.72,139.44,137.43,138.67,2293244
2022-10-13 11:15:00,137.66,137.76,137.26,137.72,1023416
2022-10-13 11:10:00,136.41,137.81,136.37,137.65,1808001
2022-10-13 11:05:00,136.26,136.49,135.98,136.41,874120
